순위,역명,연간수송인원(명)
1,강남,36541923
2,신림,27839404
3,잠실(2),27680940
4,홍대입구,26882838
5,구로디지털단지,26355253
6,신도림,23200436
7,선릉,21742636
8,서울역(1),21460661
9,삼성,21436118
10,역삼,21046508
11,서울대입구,20505067
12,고속터미널(3),20257841
13,종각,19498367
14,가산디지털단지(7),19296805
15,양재,18932490
16,을지로입구,17638118
17,연신내(3),17298724
18,수유,16093117
19,신촌,15995073
20,압구정,15922322
21,신사,15865049
22,사당(2),15734337
23,혜화,15494717
24,성수,15127606
25,남부터미널,15121456
26,건대입구(2),14943922
27,강변,14036935
28,합정(2),13979356
29,교대(2),13928124
30,까치산(5),13601613
31,쌍문,13541472
32,광화문,13321743
33,미아사거리,12938479
34,창동,12879725
35,종로3가(1),12719894
36,화곡,12338370
37,종로5가,12208836
38,낙성대,11785562
39,충무로(4),11694430
40,신대방,11690009
41,회현,11538355
42,청량리,11253207
43,사당(4),11081549
44,시청(1),10897381
45,대림(2),10758235
46,여의도(5),10664366
47,이수(총신대입구),10566940
48,광명사거리,10545529
49,오목교,10375295
50,문정,10237206
51,철산,10191500
52,봉천,10121074
53,시청(2),9973786
54,구의,9884734
55,명동,9873771
56,구파발,9793729
57,학동,9791226
58,영등포구청(2),9544255
59,동대문(4),9519337
60,제기동,9427580
61,강동,9365985
62,뚝섬,9350250
63,문래,9306231
64,안국,9213029
65,길음,9151160
66,성신여대입구,9123784
67,을지로3가(2),9049892
68,암사,8879283
69,장한평,8843387
70,서초,8788286
71,경복궁,8716364
72,잠실새내,8667819
73,상계,8521925
74,장지,8486683
75,당산,8451218
76,응암,8426685
77,노원(7),8351087
78,노원(4),8322600
79,봉은사,8304437
80,천호(5),8131161
81,청담,8121753
82,논현,8092145
83,홍제,8033249
84,하계,7985025
85,발산,7952641
86,목동,7876496
87,천호(8),7747356
88,공덕(6),7671386
89,수서,7658073
90,불광(3),7649394
91,서대문,7641825
92,상봉(7),7558590
93,답십리,7508648
94,상일동,7443526
95,사가정,7384680
96,신용산,7239231
97,면목,7154198
98,신설동(1),7052855
99,망원,7015114
100,미아,6901717
101,신대방삼거리,6870612
102,방배,6856936
103,이수(7),6836842
104,아차산,6751046
105,왕십리(2),6739326
106,남구로,6723585
107,마포,6513637
108,고속터미널(7),6469146
109,중계,6455325
110,한성대입구,6447716
111,디지털미디어시티(6),6426383
112,석계(6),6404542
113,잠실(8),6384212
114,남한산성입구,6341601
115,강남구청,6310828
116,마포구청,6250610
117,서울역(4),6216964
118,신중동,6205750
119,동대문역사문화공원(4),6193721
120,신당(2),6158282
121,녹번,6129224
122,동대문(1),6121388
123,상왕십리,6098407
124,숙대입구,6076998
125,우장산,6059116
126,새절,6050800
127,수락산,6010806
128,공덕(5),6008779
129,내방,5994515
130,잠실나루,5930584
131,약수(3),5819578
132,이대,5738830
133,군자(7),5738180
134,광나루,5631788
135,신정,5622461
136,상동,5613130
137,월곡,5600617
138,매봉,5585787
139,교대(3),5550566
140,마들,5480044
141,공릉,5466852
142,이태원,5462650
143,어린이대공원,5355246
144,동대문역사문화공원(2),5350352
145,당고개,5332946
146,부천시청,5324910
147,을지로4가(2),5260393
148,건대입구(7),5254363
149,종로3가(5),5234692
150,화랑대,5203248
151,복정(8),5152048
152,합정(6),5146420
153,강동구청,5115305
154,숭실대입구,5104181
155,안암,5028091
156,언주,4963849
157,종로3가(3),4953888
158,대치,4945545
159,동묘앞(1),4944258
160,중화,4911885
161,남성,4896377
162,선정릉,4891014
163,단대오거리,4862977
164,군자(5),4843479
165,증산,4839401
166,신풍,4784094
167,먹골,4649289
168,중곡,4530933
169,신정네거리,4521927
170,중앙보훈병원,4518379
171,봉화산,4451822
172,옥수,4423381
173,도봉산(7),4357602
174,상도,4337189
175,돌곶이,4279151
176,일원,4264843
177,을지로3가(3),4252811
178,대청,4248143
179,천왕,4240583
180,여의나루,4232035
181,충정로(2),4227058
182,부평구청(7),4221725
183,상수,4211645
184,아현,4205915
185,송파,4185801
186,장승배기,4177278
187,굽은다리,4172347
188,보라매,4052042
189,동묘앞(6),4028102
190,동대입구,4021923
191,가락시장(3),3970236
192,석촌(8),3895229
193,둔촌동,3886446
194,뚝섬유원지,3884335
195,춘의,3858914
196,고덕,3857569
197,온수(7),3850646
198,영등포시장,3847225
199,광흥창,3796261
200,굴포천,3788611
201,명일,3779339
202,고려대,3775581
203,한강진,3765908
204,가락시장(8),3729879
205,금호,3723004
206,이촌,3672342
207,석촌(9),3670887
208,경찰병원,3641885
209,대흥,3639752
210,행당,3635538
211,길동,3577767
212,신당(6),3498953
213,거여,3476187
214,한양대,3422602
215,마곡,3421695
216,태릉입구(7),3415948
217,대림(7),3410006
218,삼성중앙,3360931
219,보문,3321082
220,독립문,3302149
221,종합운동장(2),3257243
222,삼전,3212474
223,구산,3201392
224,양천구청,3153361
225,방이,3142044
226,애오개,3135777
227,효창공원앞,3114072
228,양평(5),3102296
229,까치울,3003212
230,방화,2989732
231,상월곡,2954748
232,올림픽공원(9),2905037
233,김포공항(5),2879308
234,개롱,2876495
235,신금호,2875420
236,산성,2868204
237,석촌고분,2820613
238,용마산,2813014
239,송정,2804129
240,몽촌토성,2712914
241,마천,2628243
242,오금(3),2598380
243,잠원,2567097
244,태릉입구(6),2525247
245,마장,2498651
246,도곡,2442643
247,반포,2402540
248,녹사평,2375208
249,수진,2374812
250,개화산,2349018
251,월드컵경기장,2287628
252,신흥,2247833
253,송파나루,2239598
254,종합운동장(9),2220309
255,삼각지(6),2200087
256,삼각지(4),2123437
257,미사,2106295
258,을지로4가(5),2089249
259,불광(6),1999909
260,삼산체육관,1998764
261,충정로(5),1946596
262,역촌,1859914
263,부천종합운동장,1805925
264,무악재,1805803
265,올림픽공원(5),1746689
266,왕십리(5),1693143
267,약수(6),1652411
268,청구(5),1647173
269,신설동(2),1639691
270,청구(6),1624611
271,창신,1604254
272,모란(8),1598928
273,신길(5),1557015
274,지축,1488681
275,영등포구청(5),1462887
276,오금(5),1460180
277,동작,1418405
278,독바위,1370967
279,동대문역사문화공원(5),1158488
280,한성백제,1099073
281,버티고개,1083756
282,용답,1061563
283,용두,932065
284,학여울,907607
285,장암,896071
286,하남풍산,786437
287,도림천,615756
288,신답,588029
289,남태령,571394
290,둔촌오륜,455571
